,# Pl,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90
0,22,9,810,90,100,9.0,99,81,53,45,18,61,0.89,7,13,-6,-0.67,11.3,11.2,0.1,0.01
1,26,9,810,90,100,9.0,99,80,53,45,21,63,0.33,11,24,-13,-1.44,14.9,15.9,-1.0,-0.11
2,22,8,720,90,100,8.0,88,82,53,34,19,38,2.5,16,6,10,1.25,14.9,6.5,8.3,1.04
3,23,8,720,90,100,8.0,88,83,57,33,19,38,2.0,19,12,7,0.87,15.1,13.0,2.0,0.26
4,24,8,720,90,100,8.0,88,80,48,40,22,51,1.63,13,8,5,0.62,10.1,5.6,4.5,0.56
5,22,9,810,90,100,9.0,99,79,52,45,23,59,1.89,16,9,7,0.78,14.4,7.4,7.0,0.78
6,22,8,720,90,100,8.0,88,79,52,35,27,44,2.38,20,8,12,1.5,14.7,7.5,7.1,0.89
7,22,7,630,90,100,7.0,77,80,43,33,23,30,0.71,10,17,-7,-1.0,9.0,10.6,-1.6,-0.23
8,23,9,810,90,100,9.0,99,80,60,38,24,49,2.33,21,10,11,1.22,21.2,9.4,11.8,1.31
9,20,7,630,90,100,7.0,77,82,44,33,18,27,2.43,23,6,17,2.43,19.7,4.5,15.1,2.16
10,27,9,810,90,100,9.0,99,80,55,44,23,53,1.44,11,13,-2,-0.22,9.4,12.2,-2.8,-0.31
11,23,7,630,90,100,7.0,77,79,44,33,27,30,0.57,5,19,-14,-2.0,7.7,16.9,-9.2,-1.31
12,23,8,720,90,100,8.0,88,81,49,39,20,55,1.38,8,6,2,0.25,9.1,7.0,2.1,0.26
13,23,8,720,90,100,8.0,88,81,51,37,21,35,0.38,5,18,-13,-1.62,8.8,18.6,-9.8,-1.23
14,24,8,720,90,100,8.0,88,84,55,34,17,38,0.88,11,12,-1,-0.12,13.8,9.8,4.0,0.5
15,22,8,720,90,100,8.0,88,82,50,38,18,32,1.88,9,7,2,0.25,12.1,9.6,2.5,0.32
16,25,8,720,90,100,8.0,88,81,51,37,21,35,2.0,21,16,5,0.62,16.5,13.8,2.7,0.34
17,24,8,720,90,100,8.0,88,80,50,38,22,34,0.5,7,20,-13,-1.62,6.5,14.7,-8.2,-1.02
18,25,9,810,90,100,9.0,99,81,53,45,19,59,1.0,8,12,-4,-0.44,7.8,13.1,-5.3,-0.59
19,23,8,720,90,100,8.0,88,78,47,40,26,55,0.25,3,16,-13,-1.62,7.2,12.5,-5.3,-0.67
