,Unnamed: 0,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG,Unnamed: 0,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Unnamed: 0,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks,Unnamed: 0,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def,Unnamed: 0,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err,Unnamed: 0,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR,Unnamed: 0,# Pl,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Unnamed: 0,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%,Unnamed: 0,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
0,0,Alaves,La Liga,22,27.0,46.1,9,99,810,9.0,5,5,10,5,0,1,22,1,11.3,10.5,8.2,18.8,134,317,0.56,0.56,1.11,0.56,1.11,1.26,0.91,2.17,1.17,2.08,0,22,9.0,5,123,33,26.8,13.67,3.67,0.04,0.15,17.1,6,0,1,11.3,10.5,0.09,-6.3,-5.5,0,22,9.0,2578,3617,71.3,48323,21065,1184,1408,84.1,966,1276,75.7,360,718,50.1,5,8.2,7.9,-3.2,94,242,73,31,317,0,22,9.0,3617,3130,466,107,6,26,206,219,37,7,10,0,2578,21,78,0,22,9.0,229,25.44,152,26,20,11,15,5,10,1.11,8,0,2,0,0,0,0,22,9.0,129,81,55,61,13,57,142,40.1,85,85,25,60,62,191,165,1,0,22,46.1,9.0,4553,475,1389,1968,1240,181,4552,145,77,53.1,50,34.5,2164,11757,6258,134,86,39,140,57,2543,315,0,22,9,810,90,100,9.0,99,81,53,45,18,61,0.89,7,13,-6,-0.67,11.3,11.2,0.1,0.01,0,22,9.0,22,1,0,126,106,21,206,62,81,1,2,2,499,166,135,55.1,0,1,9,9,810,9.0,13,1.44,32,21,65.6,2,2,5,1,11.1,2,2,0,0,0.0
1,1,Almeria,La Liga,26,25.4,50.8,9,99,810,9.0,11,7,18,10,1,1,19,1,14.9,14.1,11.4,25.5,161,300,1.22,0.78,2.0,1.11,1.89,1.65,1.27,2.92,1.57,2.83,1,26,9.0,11,124,43,34.7,13.78,4.78,0.08,0.23,17.5,5,1,1,14.9,14.1,0.12,-3.9,-4.1,1,26,9.0,3405,4238,80.3,62175,21746,1444,1616,89.4,1533,1765,86.9,351,649,54.1,7,11.4,7.8,-4.4,94,244,59,29,300,1,26,9.0,4238,3770,456,137,8,32,183,174,41,15,19,0,3405,12,63,1,26,9.0,224,24.89,151,20,21,12,16,4,20,2.22,10,1,5,2,2,0,1,26,9.0,152,95,91,48,13,76,163,46.6,87,88,31,57,75,227,153,3,1,26,50.8,9.0,5232,585,1797,2424,1070,164,5231,194,91,46.9,87,44.8,3115,17229,8728,161,115,34,135,64,3371,295,1,26,9,810,90,100,9.0,99,80,53,45,21,63,0.33,11,24,-13,-1.44,14.9,15.9,-1.0,-0.11,1,26,9.0,19,1,1,116,128,12,183,75,95,1,4,0,432,128,129,49.8,1,2,9,9,810,9.0,24,2.67,54,29,61.1,0,3,6,0,0.0,4,3,1,0,25.0
2,2,Arsenal,Premier League,22,25.0,60.5,8,88,720,8.0,15,9,24,10,5,5,14,1,14.9,11.2,8.1,19.3,173,393,1.87,1.13,3.0,1.25,2.37,1.86,1.01,2.87,1.4,2.41,2,22,8.0,15,113,39,34.5,14.12,4.87,0.09,0.26,16.5,0,5,5,14.9,11.2,0.1,0.1,-1.2,2,22,8.0,4208,4901,85.9,70731,21926,2028,2210,91.8,1801,1997,90.2,300,498,60.2,9,8.1,9.1,0.9,89,326,101,13,393,2,22,8.0,4901,4535,348,89,20,19,146,134,69,51,1,0,4208,18,65,2,22,8.0,215,26.87,155,20,14,17,6,3,27,3.38,14,3,2,3,5,0,2,22,8.0,139,80,54,61,24,72,125,57.6,53,106,31,75,64,203,93,3,2,22,60.5,8.0,5704,450,1555,2419,1771,272,5699,156,72,46.2,66,42.3,3734,18842,9667,173,121,54,97,83,4160,386,2,22,8,720,90,100,8.0,88,82,53,34,19,38,2.5,16,6,10,1.25,14.9,6.5,8.3,1.04,2,22,8.0,14,1,1,76,85,18,146,64,80,4,0,0,375,84,93,47.5,2,2,8,8,720,8.0,6,0.75,16,10,62.5,6,2,0,4,50.0,0,0,0,0,
3,3,Aston Villa,Premier League,23,27.0,49.1,8,88,720,8.0,18,12,30,16,2,2,22,0,15.1,13.6,10.2,23.8,148,300,2.25,1.5,3.75,2.0,3.5,1.88,1.28,3.16,1.7,2.98,3,23,8.0,18,120,45,37.5,15.0,5.63,0.13,0.36,16.1,3,2,2,15.1,13.6,0.12,2.9,2.4,3,23,8.0,3206,3883,82.6,56407,19345,1385,1548,89.5,1476,1670,88.4,278,491,56.6,12,10.2,7.6,1.8,88,259,85,21,300,3,23,8.0,3883,3482,395,134,16,31,138,140,47,29,3,0,3206,6,70,3,23,8.0,205,25.62,146,19,8,22,6,4,30,3.75,22,0,2,4,2,0,3,23,8.0,127,73,58,57,12,63,131,48.1,68,88,22,66,55,182,114,1,3,23,49.1,8.0,4700,560,1627,2022,1087,222,4698,161,68,42.2,62,38.5,2847,15557,8161,148,91,48,110,70,3148,298,3,23,8,720,90,100,8.0,88,83,57,33,19,38,2.0,19,12,7,0.87,15.1,13.0,2.0,0.26,3,23,8.0,22,0,0,95,103,6,138,55,73,2,0,1,383,54,68,44.3,3,2,8,8,720,8.0,12,1.5,33,22,63.6,5,1,2,2,25.0,0,0,0,0,
4,4,Atalanta,Serie A,24,27.0,51.1,8,88,720,8.0,13,13,26,13,0,0,11,0,10.1,10.1,7.9,18.0,174,351,1.62,1.62,3.25,1.62,3.25,1.26,0.99,2.25,1.26,2.25,4,24,8.0,13,108,36,33.3,13.5,4.5,0.12,0.36,16.3,2,0,0,10.1,10.1,0.09,2.9,2.9,4,24,8.0,3454,4312,80.1,58650,20669,1622,1851,87.6,1427,1639,87.1,306,567,54.0,13,7.9,6.8,5.1,83,227,75,18,351,4,24,8.0,4312,3933,360,77,10,29,149,174,44,15,17,1,3454,19,84,4,24,8.0,198,24.75,149,16,17,11,4,1,25,3.12,22,2,0,1,0,0,4,24,8.0,128,70,60,51,17,59,117,50.4,58,100,23,77,71,199,117,1,4,24,51.1,8.0,5132,453,1704,2186,1296,182,5132,136,81,59.6,41,30.1,3129,16255,8111,174,113,45,119,74,3428,345,4,24,8,720,90,100,8.0,88,80,48,40,22,51,1.63,13,8,5,0.62,10.1,5.6,4.5,0.56,4,24,8.0,11,0,0,102,69,19,149,71,70,0,0,1,475,130,119,52.2,4,2,8,8,720,8.0,8,1.0,27,20,70.4,4,1,3,5,62.5,0,0,0,0,
5,5,Athletic Club,La Liga,22,28.1,52.9,9,99,810,9.0,16,11,27,14,2,2,25,2,14.4,12.9,10.2,23.0,162,368,1.78,1.22,3.0,1.56,2.78,1.6,1.13,2.73,1.43,2.56,5,22,9.0,16,118,37,31.4,13.11,4.11,0.12,0.38,15.4,2,2,2,14.4,12.9,0.11,1.6,1.1,5,22,9.0,3416,4434,77.0,60614,23914,1573,1805,87.1,1417,1697,83.5,348,695,50.1,11,10.2,9.7,0.8,91,289,76,31,368,5,22,9.0,4434,3938,479,136,8,24,203,223,47,15,24,0,3416,17,84,5,22,9.0,215,23.89,153,24,14,8,10,6,31,3.44,22,2,4,0,3,0,5,22,9.0,127,80,56,52,19,66,141,46.8,75,93,28,65,62,189,164,0,5,22,52.9,9.0,5468,514,1576,2444,1499,214,5466,170,78,45.9,75,44.1,3110,15697,7765,162,121,48,171,88,3379,364,5,22,9,810,90,100,9.0,99,79,52,45,23,59,1.89,16,9,7,0.78,14.4,7.4,7.0,0.78,5,22,9.0,25,2,1,120,113,17,203,62,80,2,0,0,526,137,136,50.2,5,1,9,9,810,9.0,9,1.0,40,31,77.5,5,2,2,5,55.6,0,0,0,0,
6,6,Atletico Madrid,La Liga,22,29.7,48.6,8,88,720,8.0,20,12,32,19,1,1,20,1,14.7,14.0,11.9,26.0,138,306,2.5,1.5,4.0,2.37,3.87,1.83,1.49,3.33,1.75,3.25,6,22,8.0,20,93,40,43.0,11.62,5.0,0.2,0.48,15.3,2,1,1,14.7,14.0,0.15,5.3,5.0,6,22,8.0,3231,4016,80.5,53483,20152,1686,1872,90.1,1151,1354,85.0,298,549,54.3,12,11.9,9.5,0.1,68,245,77,14,306,6,22,8.0,4016,3623,379,106,13,40,109,147,35,11,18,0,3231,14,82,6,22,8.0,170,21.25,125,17,11,8,8,1,35,4.37,28,1,3,3,0,0,6,22,8.0,142,82,73,53,16,65,128,50.8,63,99,25,74,60,202,174,1,6,22,48.6,8.0,4892,508,1696,2123,1113,189,4891,120,68,56.7,48,40.0,2994,15139,8004,138,112,35,116,74,3199,302,6,22,8,720,90,100,8.0,88,79,52,35,27,44,2.38,20,8,12,1.5,14.7,7.5,7.1,0.89,6,22,8.0,20,1,1,88,90,14,109,60,82,0,0,0,446,108,79,57.8,6,1,8,8,720,8.0,8,1.0,30,22,73.3,6,1,1,3,37.5,0,0,0,0,
7,7,Augsburg,Bundesliga,22,25.7,45.0,7,77,630,7.0,10,6,16,9,1,1,13,1,9.0,8.2,6.0,14.2,74,190,1.43,0.86,2.29,1.29,2.14,1.28,0.86,2.14,1.17,2.03,7,22,7.0,10,92,26,28.3,13.14,3.71,0.1,0.35,18.7,2,1,1,9.0,8.2,0.09,1.0,0.8,7,22,7.0,2196,2981,73.7,40786,15943,878,1041,84.3,1037,1272,81.5,235,502,46.8,6,6.0,8.0,0.0,67,158,48,17,190,7,22,7.0,2981,2627,337,103,9,14,124,135,31,17,12,0,2196,17,61,7,22,7.0,157,22.43,110,20,6,10,11,0,16,2.29,13,1,0,1,1,0,7,22,7.0,94,54,42,38,14,43,95,45.3,52,82,32,50,57,151,137,2,7,22,45.0,7.0,3739,461,1512,1513,755,151,3738,109,55,50.5,49,45.0,2096,10690,5343,74,55,14,110,51,2166,184,7,22,7,630,90,100,7.0,77,80,43,33,23,30,0.71,10,17,-7,-1.0,9.0,10.6,-1.6,-0.23,7,22,7.0,13,1,0,90,91,17,124,57,54,1,4,1,371,126,133,48.6,7,1,7,7,630,7.0,17,2.43,34,18,61.8,1,2,4,0,0.0,4,4,0,0,0.0
8,8,Barcelona,La Liga,23,26.6,69.2,9,99,810,9.0,20,13,33,19,1,1,19,1,21.2,20.4,15.1,35.5,272,481,2.22,1.44,3.67,2.11,3.56,2.35,1.68,4.03,2.26,3.94,8,23,9.0,20,149,60,40.3,16.56,6.67,0.13,0.32,17.0,6,1,1,21.2,20.4,0.14,-1.2,-1.4,8,23,9.0,5506,6261,87.9,87250,27026,2959,3181,93.0,2058,2283,90.1,358,532,67.3,13,15.1,15.2,-2.1,111,500,108,25,481,8,23,9.0,6261,5799,443,144,29,51,177,166,62,25,14,1,5506,19,70,8,23,9.0,273,30.33,216,12,18,17,8,2,37,4.11,28,1,2,4,2,0,8,23,9.0,134,85,64,48,22,63,120,52.5,57,80,20,60,55,189,123,3,8,23,69.2,9.0,7198,442,1533,3626,2100,253,7197,194,112,57.7,64,33.0,4725,26291,15522,272,230,62,145,82,5453,477,8,23,9,810,90,100,9.0,99,80,60,38,24,49,2.33,21,10,11,1.22,21.2,9.4,11.8,1.31,8,23,9.0,19,1,0,94,121,19,177,55,85,1,0,0,457,124,111,52.8,8,1,9,9,810,9.0,10,1.11,31,21,67.7,6,3,0,4,44.4,0,0,0,0,
9,9,Bayern Munich,Bundesliga,20,27.7,63.6,7,77,630,7.0,22,17,39,19,3,3,10,0,19.7,17.4,15.0,32.4,230,423,3.14,2.43,5.57,2.71,5.14,2.81,2.14,4.95,2.48,4.63,9,20,7.0,22,140,54,38.6,20.0,7.71,0.14,0.35,16.8,2,3,3,19.7,17.4,0.13,2.3,1.6,9,20,7.0,4226,4851,87.1,70370,23042,2006,2176,92.2,1846,2022,91.3,284,436,65.1,17,15.0,16.8,2.0,117,332,99,10,423,9,20,7.0,4851,4527,315,73,26,19,142,137,54,22,26,1,4226,9,80,9,20,7.0,255,36.43,189,23,16,15,8,4,36,5.14,28,3,2,3,0,0,9,20,7.0,98,59,40,36,22,51,98,52.0,47,72,7,65,55,153,93,3,9,20,63.6,7.0,5644,401,1417,2653,1639,289,5641,226,123,54.4,87,38.5,3650,21151,11138,230,157,85,94,79,4195,420,9,20,7,630,90,100,7.0,77,82,44,33,18,27,2.43,23,6,17,2.43,19.7,4.5,15.1,2.16,9,20,7.0,10,0,0,77,60,9,142,55,59,0,1,0,421,96,65,59.6,9,1,7,7,630,7.0,6,0.86,14,8,64.3,5,2,0,3,42.9,1,1,0,0,0.0
