,Squad,Comp,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,# Pl.1,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG.1,Expected - npxG.1,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG,# Pl.2,90s.1,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,# Pl.3,90s.2,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks,# Pl.4,90s.3,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def,# Pl.5,90s.4,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err,# Pl.6,Poss.1,90s.5,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR,# Pl.7,Playing Time - MP.1,Playing Time - Min.1,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s.1,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,# Pl.8,90s.6,Performance - CrdY.1,Performance - CrdR.1,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%,# Pl.9,Playing Time - MP.2,Playing Time - Starts.1,Playing Time - Min.2,90s.7,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%,Season,Prog,SCA Types - Drib,GCA Types - Drib,Vs Dribbles - Tkl,Vs Dribbles - Att,Vs Dribbles - Tkl%,Vs Dribbles - Past,Dribbles - Succ,Dribbles - Att,Dribbles - Succ%,Dribbles - Mis,Dribbles - Dis,Receiving - Prog,Age.1,Playing Time - 90s.2
0,Alaves,La Liga,30.0,25.5,40.3,38.0,418.0,3420.0,38.0,40.0,31.0,71.0,39.0,1.0,3.0,105.0,4.0,38.5,36.1,27.7,63.8,454.0,1045.0,1.05,0.82,1.87,1.03,1.84,1.01,0.73,1.74,0.95,1.68,30.0,38.0,40.0,389.0,134.0,34.4,10.24,3.53,0.1,0.29,19.3,22.0,1.0,3.0,38.5,36.1,0.1,1.5,2.9,30.0,38.0,9696.0,13876.0,69.9,182999.0,81720.0,4360.0,5314.0,82.0,3564.0,4667.0,76.4,1462.0,3022.0,48.4,31.0,27.7,22.0,3.3,277.0,835.0,176.0,62.0,1045.0,30.0,38.0,13876.0,11799.0,1969.0,566.0,37.0,133.0,558.0,817.0,138.0,61.0,55.0,6.0,9696.0,108.0,301.0,30.0,38.0,665.0,17.5,439.0,70.0,49.0,31.0,61.0,15.0,71.0,1.87,52.0,4.0,7.0,4.0,4.0,0.0,30.0,38.0,702.0,464.0,364.0,265.0,73.0,267.0,663.0,40.3,396.0,407.0,133.0,274.0,498.0,1200.0,981.0,11.0,30.0,40.3,38.0,17988.0,2197.0,6320.0,8026.0,3879.0,560.0,17985.0,577.0,330.0,57.2,244.0,42.3,9107.0,48939.0,24165.0,454.0,347.0,118.0,534.0,403.0,9603.0,1030.0,30.0,38.0,3420.0,90.0,100.0,38.0,418.0,85.0,303.0,111.0,20.0,154.0,1.24,40.0,50.0,-10.0,-0.26,38.5,55.9,-17.4,-0.46,30.0,38.0,105.0,4.0,4.0,603.0,522.0,108.0,558.0,498.0,464.0,3.0,10.0,2.0,1975.0,608.0,602.0,50.2,2.0,38.0,38.0,3420.0,38.0,50.0,1.32,172.0,122.0,75.0,15.0,2.0,21.0,12.0,31.6,10.0,7.0,2.0,1.0,22.2,2017-2018,,,,,,,,,,,,,,,
1,Amiens,Ligue 1,30.0,27.5,43.3,38.0,418.0,3420.0,38.0,36.0,24.0,60.0,33.0,3.0,4.0,72.0,5.0,32.8,29.8,21.3,51.1,547.0,1178.0,0.95,0.63,1.58,0.87,1.5,0.86,0.56,1.42,0.78,1.35,30.0,38.0,36.0,356.0,95.0,26.7,9.37,2.5,0.09,0.35,19.8,14.0,3.0,4.0,32.8,29.8,0.08,3.2,3.2,30.0,38.0,11213.0,15624.0,71.8,204779.0,89839.0,5062.0,6052.0,83.6,4333.0,5495.0,78.9,1406.0,3017.0,46.6,24.0,21.3,24.0,2.7,263.0,845.0,178.0,55.0,1178.0,30.0,38.0,15624.0,13590.0,1965.0,535.0,40.0,110.0,590.0,837.0,140.0,50.0,67.0,0.0,11213.0,69.0,346.0,30.0,38.0,621.0,16.34,423.0,79.0,46.0,23.0,43.0,7.0,58.0,1.53,36.0,3.0,7.0,5.0,6.0,1.0,30.0,38.0,658.0,445.0,336.0,252.0,70.0,243.0,623.0,39.0,380.0,444.0,164.0,280.0,523.0,1181.0,1128.0,20.0,30.0,43.3,38.0,20018.0,2439.0,6991.0,9639.0,3654.0,466.0,20014.0,610.0,397.0,65.1,213.0,34.9,9683.0,51732.0,26943.0,547.0,391.0,96.0,618.0,503.0,11130.0,1166.0,30.0,38.0,3420.0,90.0,100.0,38.0,418.0,85.0,303.0,111.0,20.0,155.0,1.18,37.0,42.0,-5.0,-0.13,32.8,54.9,-22.1,-0.58,30.0,38.0,72.0,5.0,2.0,504.0,459.0,69.0,590.0,523.0,445.0,4.0,4.0,0.0,2214.0,637.0,725.0,46.8,2.0,38.0,38.0,3420.0,38.0,42.0,1.11,178.0,136.0,78.7,12.0,9.0,17.0,11.0,28.9,4.0,4.0,0.0,0.0,0.0,2017-2018,,,,,,,,,,,,,,,
2,Angers,Ligue 1,27.0,27.1,45.1,38.0,418.0,3420.0,38.0,41.0,30.0,71.0,37.0,4.0,4.0,68.0,3.0,47.6,44.5,35.3,79.8,699.0,1430.0,1.08,0.79,1.87,0.97,1.76,1.25,0.93,2.18,1.17,2.1,27.0,38.0,41.0,458.0,151.0,33.0,12.05,3.97,0.08,0.25,18.8,21.0,4.0,4.0,47.6,44.5,0.1,-6.6,-7.5,27.0,38.0,12795.0,17004.0,75.2,225504.0,93236.0,6155.0,7108.0,86.6,4780.0,5942.0,80.4,1476.0,2937.0,50.3,30.0,35.3,30.9,-5.3,343.0,923.0,227.0,62.0,1430.0,27.0,38.0,17004.0,14902.0,2043.0,502.0,57.0,106.0,653.0,976.0,169.0,97.0,50.0,0.0,12795.0,59.0,381.0,27.0,38.0,798.0,21.0,536.0,80.0,69.0,49.0,55.0,9.0,69.0,1.82,43.0,8.0,3.0,8.0,7.0,0.0,27.0,38.0,661.0,427.0,350.0,240.0,71.0,244.0,766.0,31.9,522.0,402.0,79.0,323.0,410.0,1071.0,853.0,14.0,27.0,45.1,38.0,21050.0,1782.0,6337.0,10116.0,4834.0,617.0,21046.0,607.0,379.0,62.4,227.0,37.4,12273.0,64643.0,33954.0,699.0,576.0,133.0,542.0,490.0,12704.0,1415.0,27.0,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,303.0,112.0,22.0,153.0,1.08,42.0,52.0,-10.0,-0.26,47.6,45.8,1.8,0.05,27.0,38.0,68.0,3.0,2.0,492.0,436.0,59.0,653.0,410.0,427.0,3.0,7.0,4.0,2051.0,592.0,654.0,47.5,3.0,38.0,38.0,3420.0,38.0,52.0,1.37,138.0,90.0,67.4,9.0,14.0,15.0,6.0,15.8,7.0,7.0,0.0,0.0,0.0,2017-2018,,,,,,,,,,,,,,,
3,Arsenal,Premier League,30.0,26.8,61.4,38.0,418.0,3420.0,38.0,73.0,61.0,134.0,69.0,4.0,5.0,,,68.3,64.3,53.3,117.6,915.0,2223.0,1.92,1.61,3.53,1.82,3.42,1.8,1.4,3.2,1.69,3.1,30.0,38.0,73.0,589.0,223.0,37.9,15.5,5.87,0.12,0.31,17.9,30.0,4.0,5.0,68.3,64.3,0.11,4.7,4.7,30.0,38.0,20878.0,25193.0,82.9,353044.0,121329.0,9800.0,10957.0,89.4,8683.0,9926.0,87.5,1749.0,2912.0,60.1,61.0,53.3,55.2,7.7,444.0,1658.0,478.0,49.0,2223.0,30.0,38.0,25193.0,23347.0,1757.0,432.0,117.0,151.0,572.0,758.0,225.0,132.0,49.0,4.0,20878.0,89.0,413.0,30.0,38.0,1079.0,28.39,830.0,53.0,70.0,65.0,53.0,8.0,131.0,3.45,95.0,8.0,7.0,12.0,7.0,2.0,30.0,38.0,623.0,425.0,312.0,227.0,84.0,218.0,581.0,37.5,363.0,372.0,103.0,269.0,427.0,1050.0,879.0,33.0,30.0,61.4,38.0,29146.0,2201.0,7494.0,13560.0,8306.0,1104.0,29141.0,547.0,383.0,70.0,164.0,30.0,18631.0,95357.0,50346.0,915.0,805.0,214.0,540.0,412.0,20745.0,2210.0,30.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,101.0,0.0,165.0,1.66,74.0,51.0,23.0,0.61,68.3,47.8,20.5,0.54,30.0,38.0,,,0.0,383.0,377.0,89.0,572.0,427.0,425.0,5.0,6.0,0.0,2148.0,630.0,660.0,48.8,2.0,38.0,38.0,3420.0,38.0,51.0,1.34,147.0,94.0,68.7,19.0,6.0,13.0,13.0,34.2,6.0,5.0,1.0,0.0,16.7,2017-2018,,,,,,,,,,,,,,,
4,Atalanta,Serie A,25.0,25.7,55.4,38.0,418.0,3420.0,38.0,57.0,38.0,95.0,52.0,5.0,9.0,,,64.1,57.2,44.7,101.8,933.0,1920.0,1.5,1.0,2.5,1.37,2.37,1.69,1.18,2.86,1.5,2.68,25.0,38.0,57.0,570.0,192.0,33.7,15.0,5.05,0.09,0.27,16.9,15.0,5.0,9.0,64.1,57.2,0.1,-7.1,-5.2,25.0,38.0,16953.0,21308.0,79.6,305663.0,107817.0,7475.0,8565.0,87.3,6842.0,8106.0,84.4,2052.0,3350.0,61.3,38.0,44.7,41.9,-6.7,441.0,1374.0,418.0,91.0,1920.0,25.0,38.0,21308.0,19223.0,2006.0,530.0,30.0,288.0,751.0,887.0,230.0,90.0,114.0,6.0,16953.0,79.0,422.0,25.0,38.0,1015.0,26.71,725.0,92.0,72.0,77.0,35.0,14.0,98.0,2.58,67.0,6.0,8.0,9.0,6.0,2.0,25.0,38.0,725.0,488.0,334.0,313.0,78.0,272.0,650.0,41.8,378.0,430.0,107.0,323.0,476.0,1201.0,820.0,11.0,25.0,55.4,38.0,25560.0,1940.0,6875.0,11992.0,6956.0,1012.0,25551.0,704.0,442.0,62.8,262.0,37.2,14628.0,84639.0,42846.0,933.0,657.0,219.0,599.0,449.0,16842.0,1900.0,25.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,108.0,0.0,313.0,1.58,57.0,39.0,18.0,0.47,64.1,36.6,27.5,0.72,25.0,38.0,,,3.0,490.0,465.0,79.0,751.0,476.0,488.0,9.0,2.0,0.0,2469.0,563.0,519.0,52.0,3.0,38.0,38.0,3420.0,38.0,39.0,1.03,118.0,78.0,67.8,16.0,12.0,10.0,11.0,28.9,2.0,1.0,1.0,0.0,50.0,2017-2018,,,,,,,,,,,,,,,
5,Athletic Club,La Liga,26.0,26.7,49.6,38.0,418.0,3420.0,38.0,39.0,25.0,64.0,33.0,6.0,8.0,93.0,0.0,49.7,43.8,33.7,77.5,652.0,1519.0,1.03,0.66,1.68,0.87,1.53,1.31,0.89,2.19,1.15,2.04,26.0,38.0,39.0,421.0,142.0,33.7,11.08,3.74,0.08,0.23,16.7,13.0,6.0,8.0,49.7,43.8,0.11,-10.7,-10.8,26.0,38.0,13195.0,17614.0,74.9,263112.0,100454.0,5337.0,6361.0,83.9,5378.0,6581.0,81.7,2185.0,3745.0,58.3,25.0,33.7,33.3,-8.7,304.0,1214.0,292.0,104.0,1519.0,26.0,38.0,17614.0,15565.0,1945.0,576.0,43.0,178.0,816.0,822.0,189.0,84.0,94.0,2.0,13195.0,104.0,384.0,26.0,38.0,741.0,19.5,501.0,95.0,36.0,41.0,52.0,16.0,68.0,1.79,45.0,4.0,2.0,10.0,7.0,0.0,26.0,38.0,739.0,486.0,359.0,304.0,76.0,296.0,735.0,40.3,439.0,432.0,103.0,329.0,465.0,1204.0,820.0,9.0,26.0,49.6,38.0,21654.0,2134.0,6390.0,10289.0,5239.0,761.0,21645.0,611.0,350.0,57.3,261.0,42.7,11930.0,65701.0,33853.0,652.0,522.0,136.0,501.0,409.0,13091.0,1507.0,26.0,38.0,3420.0,90.0,100.0,38.0,418.0,85.0,312.0,106.0,22.0,160.0,1.13,41.0,49.0,-8.0,-0.21,49.7,50.3,-0.6,-0.02,26.0,38.0,93.0,0.0,0.0,528.0,487.0,104.0,816.0,465.0,486.0,7.0,6.0,3.0,2174.0,715.0,609.0,54.0,2.0,38.0,38.0,3420.0,38.0,49.0,1.29,166.0,117.0,72.3,10.0,13.0,15.0,11.0,28.9,6.0,3.0,3.0,0.0,50.0,2017-2018,,,,,,,,,,,,,,,
6,Atletico Madrid,La Liga,26.0,26.6,47.5,38.0,418.0,3420.0,38.0,57.0,41.0,98.0,53.0,4.0,5.0,93.0,5.0,50.2,46.3,36.6,82.9,703.0,1460.0,1.5,1.08,2.58,1.39,2.47,1.32,0.96,2.28,1.22,2.18,26.0,38.0,57.0,401.0,147.0,36.7,10.55,3.87,0.13,0.36,18.5,15.0,4.0,5.0,50.2,46.3,0.12,6.8,6.7,26.0,38.0,14484.0,18580.0,78.0,247035.0,94141.0,7240.0,8251.0,87.7,5003.0,6032.0,82.9,1640.0,3052.0,53.7,41.0,36.6,30.9,4.4,295.0,1168.0,259.0,34.0,1460.0,26.0,38.0,18580.0,16668.0,1805.0,504.0,62.0,134.0,524.0,785.0,167.0,43.0,88.0,4.0,14484.0,107.0,366.0,26.0,38.0,701.0,18.45,472.0,73.0,65.0,29.0,45.0,17.0,104.0,2.74,70.0,2.0,14.0,7.0,7.0,4.0,26.0,38.0,917.0,614.0,442.0,372.0,103.0,377.0,847.0,44.5,470.0,462.0,129.0,333.0,513.0,1430.0,885.0,4.0,26.0,47.5,38.0,22955.0,2103.0,7018.0,10691.0,5490.0,740.0,22950.0,693.0,426.0,61.5,267.0,38.5,12659.0,66189.0,34201.0,703.0,498.0,169.0,548.0,448.0,14408.0,1449.0,26.0,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,304.0,110.0,24.0,156.0,2.08,58.0,22.0,36.0,0.95,50.2,35.8,14.4,0.38,26.0,38.0,93.0,5.0,3.0,538.0,481.0,107.0,524.0,513.0,614.0,4.0,4.0,1.0,2214.0,554.0,539.0,50.7,2.0,38.0,38.0,3420.0,38.0,22.0,0.58,129.0,105.0,83.7,23.0,10.0,5.0,23.0,60.5,4.0,1.0,3.0,0.0,75.0,2017-2018,,,,,,,,,,,,,,,
7,Augsburg,Bundesliga,27.0,26.6,45.7,34.0,374.0,3060.0,34.0,41.0,30.0,71.0,37.0,4.0,4.0,,,44.7,41.6,32.3,73.9,524.0,1117.0,1.21,0.88,2.09,1.09,1.97,1.32,0.95,2.27,1.22,2.17,27.0,34.0,41.0,430.0,141.0,32.8,12.65,4.15,0.09,0.26,18.1,20.0,4.0,4.0,44.7,41.6,0.1,-3.7,-4.6,27.0,34.0,10252.0,14448.0,71.0,193475.0,85959.0,4005.0,4903.0,81.7,4024.0,5162.0,78.0,1575.0,3074.0,51.2,30.0,32.3,33.2,-2.3,319.0,832.0,244.0,107.0,1117.0,27.0,34.0,14448.0,12602.0,1776.0,437.0,9.0,101.0,757.0,804.0,174.0,65.0,96.0,0.0,10252.0,70.0,413.0,27.0,34.0,747.0,21.97,518.0,90.0,27.0,48.0,46.0,18.0,68.0,2.0,45.0,6.0,1.0,9.0,6.0,1.0,27.0,34.0,723.0,543.0,361.0,292.0,70.0,364.0,603.0,60.4,239.0,400.0,107.0,293.0,400.0,1123.0,835.0,15.0,27.0,45.7,34.0,18129.0,1982.0,6243.0,7905.0,4191.0,631.0,18125.0,441.0,185.0,42.0,256.0,58.0,8558.0,49475.0,25463.0,524.0,350.0,112.0,421.0,320.0,10142.0,1103.0,27.0,34.0,3060.0,90.0,100.0,34.0,374.0,,,95.0,0.0,143.0,1.21,43.0,46.0,-3.0,-0.09,44.7,41.4,3.3,0.1,27.0,34.0,,,1.0,490.0,411.0,70.0,757.0,400.0,543.0,4.0,3.0,0.0,1616.0,700.0,774.0,47.5,2.0,34.0,34.0,3060.0,34.0,46.0,1.35,166.0,119.0,73.5,10.0,11.0,13.0,9.0,26.5,3.0,2.0,1.0,0.0,33.3,2017-2018,,,,,,,,,,,,,,,
8,Barcelona,La Liga,25.0,27.7,62.8,38.0,418.0,3420.0,38.0,96.0,74.0,170.0,93.0,3.0,5.0,67.0,2.0,83.5,80.1,64.6,144.7,1025.0,2151.0,2.53,1.95,4.47,2.45,4.39,2.2,1.7,3.9,2.11,3.81,25.0,38.0,96.0,575.0,264.0,45.9,15.13,6.95,0.16,0.35,17.0,60.0,3.0,5.0,83.5,80.1,0.15,12.5,12.9,25.0,38.0,22147.0,25740.0,86.0,363856.0,121335.0,11075.0,12080.0,91.7,8023.0,8966.0,89.5,2132.0,3013.0,70.8,74.0,64.6,62.9,9.4,418.0,1728.0,475.0,30.0,2151.0,25.0,38.0,25740.0,23730.0,1876.0,573.0,113.0,227.0,409.0,750.0,215.0,81.0,66.0,1.0,22147.0,134.0,384.0,25.0,38.0,1035.0,27.24,743.0,45.0,99.0,57.0,71.0,20.0,170.0,4.47,121.0,5.0,17.0,14.0,10.0,3.0,25.0,38.0,629.0,413.0,281.0,262.0,86.0,229.0,552.0,41.5,323.0,366.0,103.0,263.0,424.0,1053.0,525.0,10.0,25.0,62.8,38.0,29326.0,2230.0,7352.0,14187.0,8054.0,1224.0,29321.0,973.0,619.0,63.6,354.0,36.4,19047.0,97437.0,53040.0,1025.0,797.0,312.0,486.0,465.0,22019.0,2133.0,25.0,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,305.0,111.0,21.0,155.0,2.45,99.0,29.0,70.0,1.84,83.5,41.9,41.6,1.09,25.0,38.0,67.0,2.0,0.0,383.0,520.0,134.0,409.0,424.0,413.0,4.0,2.0,0.0,2095.0,343.0,286.0,54.5,2.0,38.0,38.0,3420.0,38.0,29.0,0.76,133.0,104.0,79.7,28.0,9.0,1.0,19.0,50.0,2.0,2.0,0.0,0.0,0.0,2017-2018,,,,,,,,,,,,,,,
9,Bayern Munich,Bundesliga,28.0,27.4,66.1,34.0,374.0,3060.0,34.0,90.0,72.0,162.0,84.0,6.0,8.0,,,75.8,69.8,58.8,128.5,755.0,2333.0,2.65,2.12,4.76,2.47,4.59,2.23,1.73,3.96,2.05,3.78,28.0,34.0,90.0,595.0,226.0,38.0,17.5,6.65,0.14,0.37,16.8,22.0,6.0,8.0,75.8,69.8,0.12,14.2,14.2,28.0,34.0,20569.0,24122.0,85.3,398009.0,131959.0,7778.0,8580.0,90.7,9880.0,11016.0,89.7,2649.0,3819.0,69.4,72.0,58.8,66.0,13.2,477.0,2082.0,435.0,105.0,2333.0,28.0,34.0,24122.0,22484.0,1571.0,439.0,23.0,272.0,893.0,668.0,223.0,82.0,112.0,3.0,20569.0,67.0,383.0,28.0,34.0,1105.0,32.5,863.0,86.0,37.0,52.0,54.0,13.0,169.0,4.97,134.0,7.0,9.0,9.0,8.0,2.0,28.0,34.0,609.0,467.0,269.0,248.0,92.0,308.0,549.0,56.1,241.0,313.0,75.0,238.0,355.0,964.0,399.0,11.0,28.0,66.1,34.0,27289.0,1772.0,6537.0,13304.0,7645.0,1009.0,27281.0,679.0,277.0,40.8,402.0,59.2,16244.0,77254.0,42070.0,755.0,644.0,199.0,345.0,219.0,20429.0,2314.0,28.0,34.0,3060.0,90.0,100.0,34.0,374.0,,,102.0,0.0,134.0,2.47,92.0,28.0,64.0,1.88,75.8,31.7,44.1,1.3,28.0,34.0,,,0.0,366.0,413.0,67.0,893.0,355.0,467.0,7.0,4.0,3.0,1687.0,518.0,448.0,53.6,3.0,34.0,34.0,3060.0,34.0,28.0,0.82,95.0,67.0,71.6,27.0,3.0,4.0,16.0,47.1,4.0,1.0,3.0,0.0,75.0,2017-2018,,,,,,,,,,,,,,,
